name,label
xwaveid,XW Cross wave ID
uhhid,HF Household ID
uhhpno,HF Person number
uhhpid,HF Person ID
uhhrpid,DV: Randomised person ID
uhhstate,HF State
uhhpcode,HF Postcode
xhhstrat,DV: Original strata
xhhraid,DV: Randomised original area id
uhhidpw,HF Previous wave household ID
uhhrhid,DV: Randomised household ID
uhhadst,HF Address status
uhhcalls,HF Total contacts
uhhpers,HF Number of in-scope persons in household
uhhcompi,HF Initial stage date completed HF
uhhcompf,HF Follow-up stage date completed HF
uhhcomps,DV: Household Form structure date
uhhinthi,HF Interviewer number initial stage
uhhinthf,HF Interviewer number follow-up stage
uhhhfmo,"HF Mode of interview (F2F/telephone, CAPI/hardcopy)"
uhgxid1,HF2 Cross wave ID (xwaveid) - 0001
uhgxid2,HF2 Cross wave ID (xwaveid) - 0002
uhgxid3,HF2 Cross wave ID (xwaveid) - 0003
uhgxid4,HF2 Cross wave ID (xwaveid) - 0004
uhgxid5,HF2 Cross wave ID (xwaveid) - 0005
uhgxid6,HF2 Cross wave ID (xwaveid) - 0006
uhgxid7,HF2 Cross wave ID (xwaveid) - 0007
uhgxid8,HF2 Cross wave ID (xwaveid) - 0008
uhgxid9,HF2 Cross wave ID (xwaveid) - 0009
uhgxid10,HF2 Cross wave ID (xwaveid) - 0010
uhgxid11,HF2 Cross wave ID (xwaveid) - 0011
uhgxid12,HF2 Cross wave ID (xwaveid) - 0012
uhgxid13,HF2 Cross wave ID (xwaveid) - 0013
uhgxid14,HF2 Cross wave ID (xwaveid) - 0014
uhgxid15,HF2 Cross wave ID (xwaveid) - 0015
uhgxid16,HF2 Cross wave ID (xwaveid) - 0016
uhgxid17,HF2 Cross wave ID (xwaveid) - 0017
uhgxid18,HF2 Cross wave ID (xwaveid) - 0018
uhgxid19,HF2 Cross wave ID (xwaveid) - 0019
uhgxid20,HF2 Cross wave ID (xwaveid) - 0020
uhgwli1,HF4b Wave last interviewed - 0001
uhgwli2,HF4b Wave last interviewed - 0002
uhgwli3,HF4b Wave last interviewed - 0003
uhgwli4,HF4b Wave last interviewed - 0004
uhgwli5,HF4b Wave last interviewed - 0005
uhgwli6,HF4b Wave last interviewed - 0006
uhgwli7,HF4b Wave last interviewed - 0007
uhgwli8,HF4b Wave last interviewed - 0008
uhgwli9,HF4b Wave last interviewed - 0009
uhgwli10,HF4b Wave last interviewed - 0010
uhgwli11,HF4b Wave last interviewed - 0011
uhgwli12,HF4b Wave last interviewed - 0012
uhgwli13,HF4b Wave last interviewed - 0013
uhgwli14,HF4b Wave last interviewed - 0014
uhgwli15,HF4b Wave last interviewed - 0015
uhgwli16,HF4b Wave last interviewed - 0016
uhgwli17,HF4b Wave last interviewed - 0017
uhgwli18,HF4b Wave last interviewed - 0018
uhgwli19,HF4b Wave last interviewed - 0019
uhgwli20,HF4b Wave last interviewed - 0020
uhgdli1,HF4b Date last interviewed - 0001
uhgdli2,HF4b Date last interviewed - 0002
uhgdli3,HF4b Date last interviewed - 0003
uhgdli4,HF4b Date last interviewed - 0004
uhgdli5,HF4b Date last interviewed - 0005
uhgdli6,HF4b Date last interviewed - 0006
uhgdli7,HF4b Date last interviewed - 0007
uhgdli8,HF4b Date last interviewed - 0008
uhgdli9,HF4b Date last interviewed - 0009
uhgdli10,HF4b Date last interviewed - 0010
uhgdli11,HF4b Date last interviewed - 0011
uhgdli12,HF4b Date last interviewed - 0012
uhgdli13,HF4b Date last interviewed - 0013
uhgdli14,HF4b Date last interviewed - 0014
uhgdli15,HF4b Date last interviewed - 0015
uhgdli16,HF4b Date last interviewed - 0016
uhgdli17,HF4b Date last interviewed - 0017
uhgdli18,HF4b Date last interviewed - 0018
uhgdli19,HF4b Date last interviewed - 0019
uhgdli20,HF4b Date last interviewed - 0020
uhgsex1,HF5 Sex - 0001
uhgsex2,HF5 Sex - 0002
uhgsex3,HF5 Sex - 0003
uhgsex4,HF5 Sex - 0004
uhgsex5,HF5 Sex - 0005
uhgsex6,HF5 Sex - 0006
uhgsex7,HF5 Sex - 0007
uhgsex8,HF5 Sex - 0008
uhgsex9,HF5 Sex - 0009
uhgsex10,HF5 Sex - 0010
uhgsex11,HF5 Sex - 0011
uhgsex12,HF5 Sex - 0012
uhgsex13,HF5 Sex - 0013
uhgsex14,HF5 Sex - 0014
uhgsex15,HF5 Sex - 0015
uhgsex16,HF5 Sex - 0016
uhgsex17,HF5 Sex - 0017
uhgsex18,HF5 Sex - 0018
uhgsex19,HF5 Sex - 0019
uhgsex20,HF5 Sex - 0020
uhgdob1,HF6 Date of birth - 0001
uhgdob2,HF6 Date of birth - 0002
uhgdob3,HF6 Date of birth - 0003
uhgdob4,HF6 Date of birth - 0004
uhgdob5,HF6 Date of birth - 0005
uhgdob6,HF6 Date of birth - 0006
uhgdob7,HF6 Date of birth - 0007
uhgdob8,HF6 Date of birth - 0008
uhgdob9,HF6 Date of birth - 0009
uhgdob10,HF6 Date of birth - 0010
uhgdob11,HF6 Date of birth - 0011
uhgdob12,HF6 Date of birth - 0012
uhgdob13,HF6 Date of birth - 0013
uhgdob14,HF6 Date of birth - 0014
uhgdob15,HF6 Date of birth - 0015
uhgdob16,HF6 Date of birth - 0016
uhgdob17,HF6 Date of birth - 0017
uhgdob18,HF6 Date of birth - 0018
uhgdob19,HF6 Date of birth - 0019
uhgdob20,HF6 Date of birth - 0020
uhgage1,DV: Age last birthday at June 30 2021 - person 01
uhgage2,DV: Age last birthday at June 30 2021 - person 02
uhgage3,DV: Age last birthday at June 30 2021 - person 03
uhgage4,DV: Age last birthday at June 30 2021 - person 04
uhgage5,DV: Age last birthday at June 30 2021 - person 05
uhgage6,DV: Age last birthday at June 30 2021 - person 06
uhgage7,DV: Age last birthday at June 30 2021 - person 07
uhgage8,DV: Age last birthday at June 30 2021 - person 08
uhgage9,DV: Age last birthday at June 30 2021 - person 09
uhgage10,DV: Age last birthday at June 30 2021 - person 10
uhgage11,DV: Age last birthday at June 30 2021 - person 11
uhgage12,DV: Age last birthday at June 30 2021 - person 12
uhgage13,DV: Age last birthday at June 30 2021 - person 13
