name,label,include
xwaveid,XW Cross wave ID,FALSE
uhhid,HF Household ID,FALSE
uhhpno,HF Person number,FALSE
uhhpid,HF Person ID,FALSE
uhhrpid,DV: Randomised person ID,FALSE
uhhstate,HF State,TRUE
uhhpcode,HF Postcode,FALSE
xhhstrat,DV: Original strata,FALSE
xhhraid,DV: Randomised original area id,FALSE
uhhidpw,HF Previous wave household ID,FALSE
uhhrhid,DV: Randomised household ID,FALSE
uhhadst,HF Address status,FALSE
uhhcalls,HF Total contacts,FALSE
uhhpers,HF Number of in-scope persons in household,FALSE
uhhcompi,HF Initial stage date completed HF,FALSE
uhhcompf,HF Follow-up stage date completed HF,FALSE
uhhcomps,DV: Household Form structure date,FALSE
uhhinthi,HF Interviewer number initial stage,FALSE
uhhinthf,HF Interviewer number follow-up stage,FALSE
uhhhfmo,"HF Mode of interview (F2F/telephone, CAPI/hardcopy)",FALSE
uhgxid1,HF2 Cross wave ID (xwaveid) - 0001,FALSE
uhgxid2,HF2 Cross wave ID (xwaveid) - 0002,FALSE
uhgxid3,HF2 Cross wave ID (xwaveid) - 0003,FALSE
uhgxid4,HF2 Cross wave ID (xwaveid) - 0004,FALSE
uhgxid5,HF2 Cross wave ID (xwaveid) - 0005,FALSE
uhgxid6,HF2 Cross wave ID (xwaveid) - 0006,FALSE
uhgxid7,HF2 Cross wave ID (xwaveid) - 0007,FALSE
uhgxid8,HF2 Cross wave ID (xwaveid) - 0008,FALSE
uhgxid9,HF2 Cross wave ID (xwaveid) - 0009,FALSE
uhgxid10,HF2 Cross wave ID (xwaveid) - 0010,FALSE
uhgxid11,HF2 Cross wave ID (xwaveid) - 0011,FALSE
uhgxid12,HF2 Cross wave ID (xwaveid) - 0012,FALSE
uhgxid13,HF2 Cross wave ID (xwaveid) - 0013,FALSE
uhgxid14,HF2 Cross wave ID (xwaveid) - 0014,FALSE
uhgxid15,HF2 Cross wave ID (xwaveid) - 0015,FALSE
uhgxid16,HF2 Cross wave ID (xwaveid) - 0016,FALSE
uhgxid17,HF2 Cross wave ID (xwaveid) - 0017,FALSE
